date,weight,parking_active,shares,cash_krw,parked_krw,tqqq_buy_fee_krw,tqqq_sell_fee_krw,sleeve_buy_fee_krw,sleeve_sell_fee_krw,equity_krw
2017-12-19,0.95,True,69334.85243398242,0.0,28558389.577898618,225.91815500440572,0.0,0.0,45.21074389077066,571172943.0070505
2017-12-20,0.95,True,69349.75684551815,0.0,28446105.01736309,58.078764543146576,0.0,0.0,11.622723057389367,568923424.675524
2017-12-21,0.95,True,69351.91518198496,0.0,28433209.286267348,8.406405415156774,0.0,0.0,1.6822899525681274,568664377.410561
2017-12-22,0.95,True,69364.00694766556,0.0,28343201.404380843,46.93846909071417,0.0,0.0,9.393326997751682,566865098.3917419
2017-12-26,0.95,True,69421.54752049412,0.0,27907353.30641391,219.74866755763094,0.0,0.0,43.97610598888084,558152076.8989731
2017-12-27,0.95,True,69421.99391919814,0.0,27907794.4384907,1.7048061148175055,0.0,0.0,0.3411658201569986,558155927.6432796
2017-12-28,0.95,True,69413.14290681375,0.0,27979393.208043862,0.0,33.8932931293213,6.77459183736759,0.0,559588636.8506911
2017-12-29,0.95,True,69480.42722829823,-5.820766091346741e-11,27477378.15892599,252.78720499310478,0.0,-5.820766091346741e-15,50.58777849696996,549553327.3032048
2018-01-02,0.95,True,69311.2430708265,0.0,28816868.255114287,0.0,668.249242832119,133.56966667547303,0.0,576352599.6615661
2018-01-03,0.95,True,69213.0338334996,0.0,29618902.695636097,0.0,399.2675795107767,79.80560858334593,0.0,592387156.3032935
2018-01-04,0.95,True,69193.28341358007,0.0,29784426.151268072,0.0,80.7656419955534,16.143437491162008,0.0,595690364.2978709
2018-01-05,0.95,True,69092.31512744352,0.0,30638748.592917237,0.0,425.36044542179565,85.02105093472349,0.0,612784669.1067762
2018-01-08,0.95,True,69054.73105084678,0.0,30962977.625176515,0.0,160.09562538507672,31.999915522924546,0.0,619263202.3188068
2018-01-09,0.95,True,69052.5535644381,0.0,30985806.01133641,0.0,9.282442518074516,1.8553747218909071,0.0,619716331.845254
2018-01-10,0.95,True,69077.7757954273,0.0,30776445.290263392,106.75519628631284,0.0,0.0,21.3638511620074,615531340.0671693
2018-01-11,0.9,True,65378.28555802802,0.0,62705548.06958497,0.0,15972.009193478149,3192.4853892373585,0.0,627227961.1470945
2018-01-12,0.9,True,65241.46800914423,0.0,63919909.89617058,0.0,603.2143528636407,120.57049208823294,0.0,639205613.0253117
2018-01-16,0.9,True,65293.19252527947,0.0,63475897.0693356,226.28290819058307,0.0,0.0,45.28373830276595,634761414.7931738
