overlay_type,overlay_json,active_days,pretax_cagr,aftertax_cagr,pretax_mdd,aftertax_mdd,is_aftertax_cagr,oos_aftertax_cagr,oos_retention,oos_pass,turnover_units,total_tax_paid_krw,delta_aftertax_cagr_vs_orig,delta_pretax_mdd_vs_orig,delta_aftertax_mdd_vs_orig,delta_aftertax_cagr_vs_phase2,delta_pretax_mdd_vs_phase2
soft_overheat_buffer,"{""cap_weight"": 0.925, ""enter_dist"": 126.0, ""exit_dist"": 123.0, ""min_risk_weight"": 0.95}",703,0.4231905435429242,0.3932997196379895,-0.3979232486940346,-0.5238510717066066,0.4349623001242293,0.3078427903728731,0.7077459133468585,True,105.06,4559478064.479673,0.007320439262358702,0.0067503889202328304,0.010494879451079187,-0.004846469909424611,0.010855016071704249
soft_overheat_buffer,"{""cap_weight"": 0.95, ""enter_dist"": 126.0, ""exit_dist"": 123.0, ""min_risk_weight"": 0.95}",703,0.42569824190631533,0.3957858943545409,-0.40382554610358146,-0.5318989444856617,0.43800931869182236,0.3091327439811289,0.7057675049115352,True,103.80999999999999,4673789756.180234,0.00980661397891014,0.0008480915106859888,0.0024470066720241324,-0.002360295192873174,0.004952718662157407
soft_overheat_buffer,"{""cap_weight"": 0.9, ""enter_dist"": 127.0, ""exit_dist"": 120.0, ""min_risk_weight"": 0.95}",752,0.4193964783449753,0.3897343652595675,-0.40050093115083496,-0.5283568743237759,0.43164349441467564,0.30374824659647603,0.7037016670629306,True,103.44999999999999,4366563672.45816,0.0037550848839367212,0.004172706463432485,0.005989076833909923,-0.008411824287846592,0.008277333614903903
soft_overheat_buffer,"{""cap_weight"": 0.925, ""enter_dist"": 127.0, ""exit_dist"": 120.0, ""min_risk_weight"": 0.95}",752,0.42235920395353443,0.39260261795732476,-0.4034528548609232,-0.5320160798067093,0.4347423827635404,0.30612548833988384,0.7041537712378684,True,103.2,4505562925.997013,0.006623337581693978,0.0012207827533442517,0.002329871350976509,-0.005543571590089336,0.00532540990481567
soft_overheat_buffer,"{""cap_weight"": 0.95, ""enter_dist"": 127.0, ""exit_dist"": 120.0, ""min_risk_weight"": 0.95}",752,0.4253149927748221,0.39546294105019575,-0.40640912042440847,-0.535661497190316,0.43783732279720233,0.308486474832238,0.704568703420295,True,102.95,4648492298.019466,0.009483660674564964,-0.0017354828101410202,-0.0013155460326301771,-0.002683248497218349,0.002369144341330398
soft_overheat_buffer,"{""cap_weight"": 0.9, ""enter_dist"": 127.0, ""exit_dist"": 121.0, ""min_risk_weight"": 0.95}",724,0.4205264846988095,0.39087276219600864,-0.3986556755813899,-0.525824305357793,0.43213740508530796,0.30626281115657594,0.7087162730014469,True,104.20999999999998,4413395735.537008,0.004893481820377854,0.006017962032877522,0.008521645799892785,-0.007273427351405459,0.01012258918434894
soft_overheat_buffer,"{""cap_weight"": 0.925, ""enter_dist"": 127.0, ""exit_dist"": 121.0, ""min_risk_weight"": 0.95}",724,0.4231247015344597,0.3933727207272497,-0.402249493919436,-0.530380762175107,0.43511562340624965,0.3077426805148491,0.7072664458833333,True,103.71000000000001,4538321229.897133,0.0073934403516189295,0.00242414369483146,0.0039651889825788045,-0.004773468820164384,0.006528770846302878
soft_overheat_buffer,"{""cap_weight"": 0.95, ""enter_dist"": 127.0, ""exit_dist"": 121.0, ""min_risk_weight"": 0.95}",724,0.4257193357421589,0.39586788433487086,-0.40586707348320394,-0.534940074727525,0.43809492020993024,0.3092061423529422,0.7057971414157782,True,103.21000000000001,4666527013.976675,0.009888603959240072,-0.0011934358689364988,-0.0005941235698392333,-0.0022783052125432413,0.0029111912825349195
soft_overheat_buffer,"{""cap_weight"": 0.9, ""enter_dist"": 127.0, ""exit_dist"": 122.0, ""min_risk_weight"": 0.95}",695,0.4207199395779102,0.39091511356511033,-0.3986452781973573,-0.5257683152608295,0.43185562749750983,0.3069950241629642,0.7108742010424176,True,104.76999999999998,4441079155.967875,0.004935833189479544,0.006028359416910156,0.00857763589685634,-0.00723107598230377,0.010132986568381575
soft_overheat_buffer,"{""cap_weight"": 0.925, ""enter_dist"": 127.0, ""exit_dist"": 122.0, ""min_risk_weight"": 0.95}",695,0.42324729201135036,0.3933979157239431,-0.4022424751958522,-0.5303447265202487,0.4349334110724996,0.30820883070581306,0.7086345239511557,True,104.07,4556515347.080197,0.00741863534831233,0.0024311624184152336,0.0040012246374371285,-0.004748273823470983,0.006535789569886652
soft_overheat_buffer,"{""cap_weight"": 0.95, ""enter_dist"": 127.0, ""exit_dist"": 122.0, ""min_risk_weight"": 0.95}",695,0.425773275757368,0.3958784149289547,-0.40586380567345026,-0.5349240836326544,0.4380138019830042,0.30941130807613604,0.7063962520709377,True,103.37,4674805360.859912,0.009899134553323918,-0.0011901680591828168,-0.000578132474968629,-0.002267774618459395,0.0029144590922886016
soft_overheat_buffer,"{""cap_weight"": 0.9, ""enter_dist"": 127.0, ""exit_dist"": 123.0, ""min_risk_weight"": 0.95}",660,0.4220228221641604,0.3921240455624915,-0.39459429071575713,-0.5200257332730509,0.43331342001030704,0.30767833110833,0.7100595478926348,True,105.60999999999999,4509478068.369216,0.00614476518686069,0.01007934689851031,0.01432021788463489,-0.006022143984922623,0.014183974049981729
soft_overheat_buffer,"{""cap_weight"": 0.925, ""enter_dist"": 127.0, ""exit_dist"": 123.0, ""min_risk_weight"": 0.95}",660,0.424070576407372,0.3941608623132793,-0.39951212023046,-0.5265051116678339,0.4358502308367054,0.3086471381564244,0.7081495346782584,True,104.61,4600798329.87332,0.008181581937648508,0.005161517383807435,0.007840839489851925,-0.003985327234134806,0.009266144535278853
soft_overheat_buffer,"{""cap_weight"": 0.95, ""enter_dist"": 127.0, ""exit_dist"": 123.0, ""min_risk_weight"": 0.95}",660,0.42613242450892574,0.39621079910493795,-0.4045935270012989,-0.533152552206185,0.43841164894165163,0.3096057381099173,0.7061987035639258,True,103.60999999999999,4694601475.749403,0.010231518729307165,8.011061296853139e-05,0.0011933989515008347,-0.0019353904424761481,0.00418473776443995
soft_overheat_buffer,"{""cap_weight"": 0.9, ""enter_dist"": 128.0, ""exit_dist"": 120.0, ""min_risk_weight"": 0.95}",699,0.4200621173973029,0.39038554870727027,-0.40071360341450435,-0.5287237372945301,0.4326776024662353,0.303587848945277,0.7016490967289392,True,103.02999999999999,4396575213.352883,0.004406268331639485,0.003960034199763096,0.005622213863155645,-0.007760640840143829,0.008064661351234514
soft_overheat_buffer,"{""cap_weight"": 0.925, ""enter_dist"": 128.0, ""exit_dist"": 120.0, ""min_risk_weight"": 0.95}",699,0.4227945849438679,0.39302855481419363,-0.40358514296942327,-0.5322439942197497,0.4354148174141681,0.30602909614697005,0.7028449283476591,True,102.92999999999999,4525750343.282677,0.007049274438562847,0.0010884946448441735,0.0021019569379361336,-0.005117634733220466,0.005193121796315592
soft_overheat_buffer,"{""cap_weight"": 0.95, ""enter_dist"": 128.0, ""exit_dist"": 120.0, ""min_risk_weight"": 0.95}",699,0.4255118878351334,0.39565556949074243,-0.406465938814196,-0.5357592948292969,0.4381396543669027,0.30844669106977296,0.703991725002541,True,102.83,4657879884.330687,0.009676289115111647,-0.0017923011999285698,-0.001413343671611056,-0.0024906200566716663,0.0023123259515428485
soft_overheat_buffer,"{""cap_weight"": 0.9, ""enter_dist"": 128.0, ""exit_dist"": 121.0, ""min_risk_weight"": 0.95}",665,0.42053780825648013,0.39082804932278314,-0.39887536582203686,-0.5262022207821857,0.43317046500316425,0.3039276290691544,0.7016351612682878,True,103.65,4421076027.625581,0.00484876894715236,0.00579827179223058,0.008143730375500091,-0.0073181402246309535,0.009902898943701999
soft_overheat_buffer,"{""cap_weight"": 0.925, ""enter_dist"": 128.0, ""exit_dist"": 121.0, ""min_risk_weight"": 0.95}",665,0.4231383840986094,0.39334919775521504,-0.4023847248524518,-0.530613243115548,0.4357876375561802,0.3062417587974413,0.7027316344143922,True,103.35,4543817125.422579,0.0073699173795842565,0.0022889127618156424,0.0037327080421377667,-0.004796991792199057,0.006393539913287061
soft_overheat_buffer,"{""cap_weight"": 0.95, ""enter_dist"": 128.0, ""exit_dist"": 121.0, ""min_risk_weight"": 0.95}",665,0.4257283413445945,0.39585982379127005,-0.40592448085946,-0.5350387637730127,0.4383971860181135,0.30853925315888087,0.7037893102400816,True,103.05,4669233075.694479,0.009880543415639265,-0.0012508432451925344,-0.0006928126153269432,-0.0022863657561440487,0.002853783906278884
soft_overheat_buffer,"{""cap_weight"": 0.9, ""enter_dist"": 128.0, ""exit_dist"": 122.0, ""min_risk_weight"": 0.95}",643,0.4211196334414469,0.3913960995896473,-0.3988620340344531,-0.526140280873449,0.43245520088715317,0.30722490559234394,0.7104201891018825,True,104.06999999999998,4447749917.813384,0.005416819214016488,0.005811603579814362,0.008205670284236799,-0.006750089957766825,0.00991623073128578
soft_overheat_buffer,"{""cap_weight"": 0.925, ""enter_dist"": 128.0, ""exit_dist"": 122.0, ""min_risk_weight"": 0.95}",643,0.4235120101162806,0.39371399689119047,-0.40237583632309704,-0.5305734043204602,0.435327005804784,0.3083609477605598,0.7083432538041063,True,103.62,4561368295.865373,0.007734716515559681,0.0022978012911704093,0.00377254683722561,-0.0044321926562236325,0.006402428442641828
soft_overheat_buffer,"{""cap_weight"": 0.95, ""enter_dist"": 128.0, ""exit_dist"": 122.0, ""min_risk_weight"": 0.95}",643,0.4258944567222025,0.39602202276526977,-0.40592038882701964,-0.5350210914424389,0.4381924384727536,0.3094808960500275,0.7062670846824088,True,103.16999999999999,4677227666.777374,0.010042742389638981,-0.0012467512127521951,-0.0006751402847531285,-0.002124166782144332,0.002857875938719223
soft_overheat_buffer,"{""cap_weight"": 0.9, ""enter_dist"": 128.0, ""exit_dist"": 123.0, ""min_risk_weight"": 0.95}",619,0.4221570615550705,0.3923415188095245,-0.39482398877026825,-0.5203270334299899,0.4335354193870409,0.30788672341383805,0.7101766306641042,True,104.76999999999998,4504476187.566402,0.006362238433893719,0.009849648843999192,0.014018917727695923,-0.0058046707378895945,0.01395427599547061
soft_overheat_buffer,"{""cap_weight"": 0.925, ""enter_dist"": 128.0, ""exit_dist"": 123.0, ""min_risk_weight"": 0.95}",619,0.42416628445795834,0.3943102382755048,-0.39965058307092527,-0.5266835915822417,0.43600323622318893,0.30878916646431653,0.7082267763403668,True,104.07,4597912465.29312,0.008330957899874036,0.005023054543342176,0.007662359575444144,-0.003835951271909277,0.009127681694813594
soft_overheat_buffer,"{""cap_weight"": 0.95, ""enter_dist"": 128.0, ""exit_dist"": 123.0, ""min_risk_weight"": 0.95}",619,0.42617934509539124,0.3962816200832089,-0.4046507944564536,-0.5332249734019634,0.4384844885456354,0.30967244161528296,0.7062335149925234,True,103.36999999999999,4693483697.060367,0.010302339707578101,2.2843157813867698e-05,0.0011209777557223966,-0.0018645694642052124,0.004127470309285286
soft_overheat_buffer,"{""cap_weight"": 0.9, ""enter_dist"": 129.0, ""exit_dist"": 120.0, ""min_risk_weight"": 0.95}",657,0.4221384998222979,0.392413548392589,-0.4010357430692265,-0.5293596460589141,0.43490735029173777,0.30519040991090085,0.7017366105819499,True,103.03,4491860706.371809,0.006434268016958233,0.0036378945450409317,0.004986305098771737,-0.00573264115482508,0.00774252169651235
soft_overheat_buffer,"{""cap_weight"": 0.925, ""enter_dist"": 129.0, ""exit_dist"": 120.0, ""min_risk_weight"": 0.95}",657,0.42413251953801323,0.39433536137480063,-0.4037861301512148,-0.5326414843628569,0.43685139671253426,0.3070622426477161,0.7028986171464054,True,102.92999999999999,4588595006.880061,0.008356080999169846,0.0008875074630526614,0.0017044667948289405,-0.0038108281726134674,0.00499213461452408
soft_overheat_buffer,"{""cap_weight"": 0.95, ""enter_dist"": 129.0, ""exit_dist"": 120.0, ""min_risk_weight"": 0.95}",657,0.42610790931144615,0.39623774379215604,-0.4065525343156803,-0.5359309480232652,0.43877954804260244,0.3089071494416835,0.7040144665350053,True,102.83,4686530921.180909,0.010258463416525254,-0.0018788967014128355,-0.0015849968655794466,-0.0019084457552580592,0.002225730450058583
