time,QQQ종가,TQQQ종가,SPY종가,QQQ3일선,QQQ161일선,TQQQ200일선,SPY200일선,TQQQ200일 이격도
2006-11-09,42.83000183105469,0.45430889454694906,138.17999267578125,42.89666748046875,39.76012423023674,0.3858925621613647,129.7746998977661,117.7293731712236
2006-11-10,43.029998779296875,0.46067315244451407,138.24000549316406,42.96333312988281,39.7708695690084,0.3859041321968422,129.82319995880127,119.3750245228091
2006-11-13,43.470001220703125,0.4748049663545406,138.5800018310547,43.11000061035156,39.78428571712897,0.38597329985973894,129.87389995574952,123.01497707926498
2006-11-14,43.93000030517578,0.4898781094665406,139.6199951171875,43.47666676839193,39.80161491536206,0.3861489723501489,129.93449993133544,126.86246618373312
2006-11-15,44.11000061035156,0.4958998400782193,140.02000427246094,43.83666737874349,39.815217414998116,0.3863303919809059,129.9926499557495,128.36159162511055
2006-11-16,44.29999923706055,0.5023079303500173,140.3800048828125,44.11333338419596,39.82919257027762,0.38666161861359216,130.0600499725342,129.90891936755574
2006-11-17,44.29999923706055,0.5023079303500173,140.4199981689453,44.23666636149088,39.84391306053778,0.38707336402174414,130.13079998016357,129.77073005772615
2006-11-20,44.38999938964844,0.5053694060490814,140.5,44.32999928792318,39.8588820036894,0.3875173501404049,130.20029998779296,130.41207209586267
2006-11-21,44.45000076293945,0.5074187094146464,140.63999938964844,44.37999979654948,39.872795057592924,0.387999143343434,130.27609996795655,130.77830663288586
2006-11-22,44.72999954223633,0.5170076824263379,140.9199981689453,44.52333323160807,39.885962752822024,0.3884575558536922,130.34759994506837,133.09245106331838
2006-11-24,44.650001525878906,0.5142337327644381,140.35000610351562,44.61000061035156,39.897888230981295,0.38896263750867244,130.4172999572754,132.20645974074375
2006-11-27,43.63999938964844,0.479337171676115,138.4199981689453,44.34000015258789,39.906086986849765,0.38925517285313904,130.47619995117188,123.14214559120651
2006-11-28,43.77000045776367,0.48362092592749634,139.02000427246094,44.02000045776367,39.915465882105856,0.3896415594863545,130.53924995422364,124.11944109992534
2006-11-29,44.06999969482422,0.4935651279348575,140.47000122070312,43.826666514078774,39.928819928850444,0.3900159478877704,130.60284996032715,126.54998612438384
2006-11-30,44.040000915527344,0.4925572074825715,140.52999877929688,43.960000356038414,39.94192552270356,0.39034537320419554,130.66449996948242,126.18497394739386
2006-12-01,43.65999984741211,0.4798070534593974,140.22000122070312,43.923333485921226,39.951614972227105,0.39055196033391176,130.7197999572754,122.85357703727178
2006-12-04,44.2599983215332,0.49958832929226304,141.2899932861328,43.98666636149088,39.96776403107258,0.39090970554360716,130.7821999359131,127.8014646879962
2006-12-05,44.41999816894531,0.5050063631481347,141.89999389648438,44.11333211263021,39.97993793842955,0.391366209577523,130.84924987792968,129.03678212109457
2006-12-06,44.2599983215332,0.4995492980168938,141.77999877929688,44.313331604003906,39.989937918526785,0.3917177635719096,130.91179985046386,127.52786431274234
2006-12-07,43.70000076293945,0.4805877256335586,141.16000366210938,44.12666575113932,39.997391339414605,0.391991674583705,130.97219985961914,122.60151344896357
2006-12-08,43.900001525878906,0.487186209164998,141.4199981689453,43.95333353678385,40.00919259112814,0.39228150489964764,131.03224983215333,124.19301014194606
2006-12-11,44.060001373291016,0.4925130690569093,141.8300018310547,43.88666788736979,40.02223608360527,0.39252618963639124,131.09409980773927,125.47266451523626
2006-12-12,43.79999923706055,0.48379397377196126,141.72000122070312,43.92000071207682,40.03422366314053,0.3928261589562969,131.16154983520508,123.15727014141764
2006-12-13,43.880001068115234,0.4864449603766983,141.8699951171875,43.913333892822266,40.046770249834715,0.39305276691276825,131.22404983520508,123.76072663156114
2006-12-14,44.369998931884766,0.5027410168231897,143.1199951171875,44.016666412353516,40.05987584368783,0.39335609045056946,131.29284980773926,127.80811814743362
2006-12-15,44.43000030517578,0.504780580862762,142.33999633789062,44.22666676839193,40.075900699781336,0.3937077854857121,131.36074981689453,128.21198855390193
2006-12-18,43.9900016784668,0.4897837705424767,141.9499969482422,44.26333363850912,40.09173922805312,0.39404109450141145,131.429649810791,124.29763732186625
2006-12-19,43.849998474121094,0.48510739218175253,142.22000122070312,44.09000015258789,40.10602493760008,0.3943880926822538,131.50089981079103,123.00254525498275
2006-12-20,43.689998626708984,0.47979721352074034,142.13999938964844,43.84333292643229,40.119689514918356,0.39470548696646424,131.57039978027345,121.55828316658437
2006-12-21,43.380001068115234,0.46958416915223433,141.6199951171875,43.63999938964844,40.12931683937215,0.3950252944213184,131.6415997695923,118.87445583456598
2006-12-22,42.93000030517578,0.4549705295132456,140.75,43.333333333333336,40.13409945091105,0.39526602728176485,131.70239978790283,115.10489091158864
2006-12-26,43.11000061035156,0.4606934389175926,141.5800018310547,43.140000661214195,40.13975162387635,0.395517320532908,131.76614978790283,116.47870143761803
2006-12-27,43.33000183105469,0.46774654382342634,142.50999450683594,43.12333424886068,40.1477640519231,0.3956994547368899,131.8277997970581,118.20752801755623
2006-12-28,43.119998931884766,0.4609456119428352,142.2100067138672,43.186667124430336,40.15677026784198,0.3957928479191883,131.88504985809325,116.46132929540698
2006-12-29,43.15999984741211,0.4622284213312457,141.6199951171875,43.20333353678385,40.17180131236959,0.39594830991202845,131.93799983978272,116.73958690060915
2007-01-03,43.2400016784668,0.4647987957660989,141.3699951171875,43.173333485921226,40.19074543070349,0.3961041177320302,131.99174983978273,117.34258114442062
2007-01-04,44.060001373291016,0.4912420096343816,141.6699981689453,43.48666763305664,40.21496904266547,0.39637644931955157,132.0480498123169,123.93319796816462
2007-01-05,43.849998474121094,0.4842177988081094,140.5399932861328,43.71666717529297,40.239751638092606,0.3966830391699979,132.1027997970581,122.06667565653055
2007-01-08,43.880001068115234,0.48521171834251614,141.19000244140625,43.93000030517578,40.268074627988824,0.39697916830786945,132.15684978485106,122.22598994570406
2007-01-09,44.099998474121094,0.4925097117427417,141.07000732421875,43.94333267211914,40.2994410828774,0.3973303937654571,132.2116498184204,123.95470355924209
2007-01-10,44.619998931884766,0.5099318399346213,141.5399932861328,44.199999491373696,40.332174004975315,0.397736358782236,132.26829975128175,128.20850512532934
2007-01-11,45.08000183105469,0.5257030275431461,142.16000366210938,44.59999974568685,40.37012431932532,0.39821962224153845,132.32899974823,132.01334092579776
