time,equity
2021-07-08,67.56607843412492
2021-07-09,68.59547649809238
2021-07-12,69.36983129077264
2021-07-13,69.33640638292316
2021-07-14,69.67538242972755
2021-07-15,68.37735353735215
2021-07-16,66.8661613762912
2021-07-19,65.42308148414637
2021-07-20,67.36453389198061
2021-07-21,68.74890972409405
2021-07-22,70.04894186894678
2021-07-23,72.14283420146562
2021-07-26,72.4138355705242
2021-07-27,70.28455719755773
2021-07-28,70.97598328113465
2021-07-29,71.29035242280244
2021-07-30,70.3285561256708
2021-08-02,70.30947751899349
2021-08-03,71.41095412679107
2021-08-04,71.7298828449444
2021-08-05,72.94312054904282
2021-08-06,72.08821161314657
2021-08-09,72.43535174116974
2021-08-10,71.46094132629159
2021-08-11,71.1134323337871
2021-08-12,71.78018387072956
2021-08-13,72.42722048220145
2021-08-16,72.54129267503274
2021-08-17,70.82562449965278
2021-08-18,68.97189677500256
2021-08-19,69.85603630724876
2021-08-20,71.79842221078613
2021-08-23,74.67709358935353
2021-08-24,75.34038714764715
2021-08-25,75.41611995213799
2021-08-26,74.26596415039732
2021-08-27,76.21918685970162
2021-08-30,78.4930434926222
2021-08-31,78.29511300634054
2021-09-01,78.6816161149255
2021-09-02,78.58268080490726
2021-09-03,79.2187403491746
2021-09-07,79.5106030307209
2021-09-08,78.77647138288863
2021-09-09,78.01803066450744
2021-09-10,76.43820795007977
2021-09-13,76.28222425617247
2021-09-14,75.69124642482224
2021-09-15,77.20058135829879
2021-09-16,77.33749282885472
2021-09-17,74.87799415017012
2021-09-20,70.72974640531875
2021-09-21,70.8171185142853
2021-09-22,72.8265776681189
2021-09-23,74.78548576441932
2021-09-24,74.97589387328185
2021-09-27,73.34822436353271
2021-09-28,67.84008148057205
2021-09-29,67.4042288916098
2021-09-30,66.66731432472075
2021-10-01,67.84570691069182
2021-10-04,63.7986542100569
2021-10-05,66.17960201742433
2021-10-06,67.4466403485001
2021-10-07,69.21635486178819
2021-10-08,68.18437649753746
2021-10-11,66.71609992712807
2021-10-12,66.05674094121714
2021-10-13,67.55758448430211
2021-10-14,71.17478543968888
2021-10-15,72.45462118181673
2021-10-18,74.56234213934465
2021-10-19,76.15081324937596
2021-10-20,75.91811295103463
2021-10-21,77.23409559479481
2021-10-22,75.4740012989891
2021-10-25,77.51247163958658
2021-10-26,78.16441418658988
2021-10-27,78.7199614474485
2021-10-28,81.04571174386342
2021-10-29,82.12379992405516
2021-11-01,82.85258824523542
2021-11-02,83.8471489493778
2021-11-03,86.24236573297726
2021-11-04,89.1371438342675
2021-11-05,89.4345527580372
2021-11-08,89.1041918947349
2021-11-09,87.45169991240424
2021-11-10,84.00255770896102
2021-11-11,84.61563226054162
2021-11-12,87.03272310857983
2021-11-15,87.00904886300243
2021-11-16,88.62816329123721
2021-11-17,88.72265467884506
2021-11-18,91.16500313493248
2021-11-19,92.5498411755716
2021-11-22,89.98309747500348
2021-11-23,89.00212755757661
2021-11-24,89.66059373875568
2021-11-26,85.69931977721365
2021-11-29,90.48995794989266
2021-11-30,86.99052679478726
2021-12-01,82.97254680355468
2021-12-02,84.37835801429694
2021-12-03,80.5595747631739
2021-12-06,82.38717782661371
2021-12-07,89.590336979084
2021-12-08,90.71234035739604
2021-12-09,87.1872196611463
2021-12-10,89.61690133867313
2021-12-13,86.14913347092038
2021-12-14,83.84141664966408
2021-12-15,88.83445259776684
2021-12-16,82.73086814657266
2021-12-17,81.50459104574631
2021-12-20,79.14010616426705
2021-12-21,84.27210914141288
2021-12-22,87.18638107603546
2021-12-23,89.05046950149207
2021-12-27,92.88126217199215
2021-12-28,91.89770891046274
2021-12-29,91.76737555443533
2021-12-30,90.99491740850517
2021-12-31,89.47271359358066
2022-01-03,91.79642766252964
2022-01-04,88.58582451242138
2022-01-05,81.24874635882725
2022-01-06,81.03237914965028
2022-01-07,78.4622555060654
2022-01-10,78.74223581191511
2022-01-11,82.10163668580134
2022-01-12,83.00899805509148
2022-01-13,77.16566561571743
2022-01-14,78.29686765875847
2022-01-18,72.79135310591295
2022-01-19,72.53450347347741
2022-01-20,72.53450347347741
2022-01-21,72.53450347347741
2022-01-24,72.53450347347741
2022-01-25,72.53450347347741
2022-01-26,72.53450347347741
2022-01-27,72.53450347347741
2022-01-28,72.53450347347741
2022-01-31,72.53450347347741
2022-02-01,72.53450347347741
2022-02-02,72.53450347347741
2022-02-03,72.53450347347741
2022-02-04,72.53450347347741
2022-02-07,72.53450347347741
2022-02-08,72.53450347347741
2022-02-09,72.53450347347741
2022-02-10,72.53450347347741
2022-02-11,72.53450347347741
2022-02-14,72.53450347347741
2022-02-15,72.53450347347741
2022-02-16,72.53450347347741
2022-02-17,72.53450347347741
2022-02-18,72.53450347347741
2022-02-22,72.53450347347741
2022-02-23,72.53450347347741
2022-02-24,72.53450347347741
2022-02-25,72.53450347347741
2022-02-28,72.53450347347741
2022-03-01,72.53450347347741
2022-03-02,72.53450347347741
2022-03-03,72.53450347347741
2022-03-04,72.53450347347741
2022-03-07,72.53450347347741
2022-03-08,72.53450347347741
2022-03-09,72.53450347347741
2022-03-10,72.53450347347741
2022-03-11,72.53450347347741
2022-03-14,72.53450347347741
2022-03-15,72.53450347347741
2022-03-16,72.53450347347741
2022-03-17,72.53450347347741
2022-03-18,72.53450347347741
2022-03-21,72.53450347347741
2022-03-22,72.53450347347741
2022-03-23,72.53450347347741
2022-03-24,72.53450347347741
2022-03-25,72.53450347347741
2022-03-28,72.53450347347741
2022-03-29,72.53450347347741
2022-03-30,72.53450347347741
2022-03-31,72.53450347347741
2022-04-01,72.53450347347741
2022-04-04,72.53450347347741
2022-04-05,72.53450347347741
2022-04-06,72.53450347347741
2022-04-07,72.53450347347741
2022-04-08,72.53450347347741
2022-04-11,72.53450347347741
2022-04-12,72.53450347347741
2022-04-13,72.53450347347741
2022-04-14,72.53450347347741
2022-04-18,72.53450347347741
2022-04-19,72.53450347347741
2022-04-20,72.53450347347741
2022-04-21,72.53450347347741
2022-04-22,72.53450347347741
2022-04-25,72.53450347347741
2022-04-26,72.53450347347741
2022-04-27,72.53450347347741
2022-04-28,72.53450347347741
2022-04-29,72.53450347347741
2022-05-02,72.53450347347741
2022-05-03,72.53450347347741
2022-05-04,72.53450347347741
2022-05-05,72.53450347347741
2022-05-06,72.53450347347741
2022-05-09,72.53450347347741
2022-05-10,72.53450347347741
2022-05-11,72.53450347347741
2022-05-12,72.53450347347741
2022-05-13,72.53450347347741
2022-05-16,72.53450347347741
2022-05-17,72.53450347347741
2022-05-18,72.53450347347741
2022-05-19,72.53450347347741
2022-05-20,72.53450347347741
2022-05-23,72.53450347347741
2022-05-24,72.53450347347741
2022-05-25,72.53450347347741
2022-05-26,72.53450347347741
2022-05-27,72.53450347347741
2022-05-31,72.53450347347741
2022-06-01,72.53450347347741
2022-06-02,72.53450347347741
2022-06-03,72.53450347347741
2022-06-06,72.53450347347741
2022-06-07,72.53450347347741
2022-06-08,72.53450347347741
2022-06-09,72.53450347347741
2022-06-10,72.53450347347741
2022-06-13,72.53450347347741
2022-06-14,72.53450347347741
2022-06-15,72.53450347347741
2022-06-16,72.53450347347741
2022-06-17,72.53450347347741
2022-06-21,72.53450347347741
2022-06-22,72.53450347347741
2022-06-23,72.53450347347741
2022-06-24,72.53450347347741
2022-06-27,72.53450347347741
2022-06-28,72.53450347347741
2022-06-29,72.53450347347741
2022-06-30,72.53450347347741
2022-07-01,72.53450347347741
2022-07-05,72.53450347347741
2022-07-06,72.53450347347741
2022-07-07,72.53450347347741
2022-07-08,72.53450347347741
2022-07-11,72.53450347347741
2022-07-12,72.53450347347741
2022-07-13,72.53450347347741
2022-07-14,72.53450347347741
2022-07-15,72.53450347347741
2022-07-18,72.53450347347741
2022-07-19,72.53450347347741
2022-07-20,72.53450347347741
2022-07-21,72.53450347347741
2022-07-22,72.53450347347741
2022-07-25,72.53450347347741
2022-07-26,72.53450347347741
2022-07-27,72.53450347347741
2022-07-28,72.53450347347741
2022-07-29,72.53450347347741
2022-08-01,72.53450347347741
2022-08-02,72.53450347347741
2022-08-03,72.53450347347741
2022-08-04,72.53450347347741
2022-08-05,72.53450347347741
2022-08-08,72.53450347347741
2022-08-09,72.53450347347741
2022-08-10,72.53450347347741
2022-08-11,72.53450347347741
2022-08-12,72.53450347347741
2022-08-15,72.53450347347741
2022-08-16,72.53450347347741
2022-08-17,72.53450347347741
2022-08-18,72.53450347347741
2022-08-19,72.53450347347741
2022-08-22,72.53450347347741
2022-08-23,72.53450347347741
2022-08-24,72.53450347347741
2022-08-25,72.53450347347741
2022-08-26,72.53450347347741
2022-08-29,72.53450347347741
2022-08-30,72.53450347347741
2022-08-31,72.53450347347741
2022-09-01,72.53450347347741
2022-09-02,72.53450347347741
2022-09-06,72.53450347347741
2022-09-07,72.53450347347741
2022-09-08,72.53450347347741
2022-09-09,72.53450347347741
2022-09-12,72.53450347347741
2022-09-13,72.53450347347741
2022-09-14,72.53450347347741
2022-09-15,72.53450347347741
2022-09-16,72.53450347347741
2022-09-19,72.53450347347741
2022-09-20,72.53450347347741
2022-09-21,72.53450347347741
2022-09-22,72.53450347347741
2022-09-23,72.53450347347741
2022-09-26,72.53450347347741
2022-09-27,72.53450347347741
2022-09-28,72.53450347347741
2022-09-29,72.53450347347741
2022-09-30,72.53450347347741
2022-10-03,72.53450347347741
2022-10-04,72.53450347347741
2022-10-05,72.53450347347741
2022-10-06,72.53450347347741
2022-10-07,72.53450347347741
2022-10-10,72.53450347347741
2022-10-11,72.53450347347741
2022-10-12,72.53450347347741
2022-10-13,72.53450347347741
2022-10-14,72.53450347347741
2022-10-17,72.53450347347741
2022-10-18,72.53450347347741
2022-10-19,72.53450347347741
2022-10-20,72.53450347347741
2022-10-21,72.53450347347741
2022-10-24,72.53450347347741
2022-10-25,72.53450347347741
2022-10-26,72.53450347347741
2022-10-27,72.53450347347741
2022-10-28,72.53450347347741
2022-10-31,72.53450347347741
2022-11-01,72.53450347347741
2022-11-02,72.53450347347741
2022-11-03,72.53450347347741
2022-11-04,72.53450347347741
2022-11-07,72.53450347347741
2022-11-08,72.53450347347741
2022-11-09,72.53450347347741
2022-11-10,72.53450347347741
2022-11-11,72.53450347347741
2022-11-14,72.53450347347741
2022-11-15,72.53450347347741
2022-11-16,72.53450347347741
2022-11-17,72.53450347347741
2022-11-18,72.53450347347741
2022-11-21,72.53450347347741
2022-11-22,72.53450347347741
2022-11-23,72.53450347347741
2022-11-25,72.53450347347741
2022-11-28,72.53450347347741
2022-11-29,72.53450347347741
2022-11-30,72.53450347347741
2022-12-01,72.53450347347741
2022-12-02,72.53450347347741
2022-12-05,72.53450347347741
2022-12-06,72.53450347347741
2022-12-07,72.53450347347741
2022-12-08,72.53450347347741
2022-12-09,72.53450347347741
2022-12-12,72.53450347347741
2022-12-13,72.53450347347741
2022-12-14,72.53450347347741
2022-12-15,72.53450347347741
2022-12-16,72.53450347347741
2022-12-19,72.53450347347741
2022-12-20,72.53450347347741
2022-12-21,72.53450347347741
2022-12-22,72.53450347347741
2022-12-23,72.53450347347741
2022-12-27,72.53450347347741
2022-12-28,72.53450347347741
2022-12-29,72.53450347347741
2022-12-30,72.53450347347741
2023-01-03,72.53450347347741
2023-01-04,72.53450347347741
2023-01-05,72.53450347347741
2023-01-06,72.53450347347741
2023-01-09,72.53450347347741
2023-01-10,72.53450347347741
2023-01-11,72.53450347347741
2023-01-12,72.53450347347741
2023-01-13,72.53450347347741
2023-01-17,72.53450347347741
2023-01-18,72.53450347347741
2023-01-19,72.53450347347741
2023-01-20,72.53450347347741
2023-01-23,72.53450347347741
2023-01-24,72.53450347347741
2023-01-25,72.49825434630426
2023-01-26,76.69124952151802
2023-01-27,78.8891896565638
2023-01-30,74.1551632619419
2023-01-31,77.46898109321715
2023-02-01,82.47228599469669
2023-02-02,90.7377752491718
2023-02-03,86.1913727660665
2023-02-06,84.06188667939801
2023-02-07,89.11093070502844
2023-02-08,84.46332192992693
2023-02-09,82.26669978085182
2023-02-10,80.62607626274205
2023-02-13,84.33611101988879
2023-02-14,86.06917720063376
2023-02-15,86.2230164191274
2023-02-16,81.29315159324676
2023-02-17,79.49980949409068
2023-02-21,79.4600794543635
2023-02-22,79.53118629713306
2023-02-23,81.52213042682872
2023-02-24,77.39802848189827
2023-02-27,79.06899860025261
2023-02-28,78.67791774614174
2023-03-01,76.75808045921563
2023-03-02,78.60681768449392
2023-03-03,83.40641429237003
2023-03-06,83.76194172509612
2023-03-07,80.63331523557437
2023-03-08,81.73544417401567
2023-03-09,77.43358190328306
2023-03-10,74.19672486897504
2023-03-13,74.15964504645181
2023-03-14,79.20097379850513
2023-03-15,80.3483098179581
2023-03-16,86.70951010574947
2023-03-17,85.46167405997137
2023-03-20,86.3388875106612
2023-03-21,89.8803610312085
2023-03-22,85.83776928681175
2023-03-23,88.80656997671909
2023-03-24,89.6828106599329
2023-03-27,87.8971202840855
2023-03-28,86.48115192770298
2023-03-29,91.06837104431743
2023-03-30,93.4594492594689
2023-03-31,97.90130892200197
2023-04-03,97.22922034666266
2023-04-04,96.28810344274069
2023-04-05,93.2957745131669
2023-04-06,95.11309323933449
2023-04-10,94.91128438221416
2023-04-11,93.12850446117717
2023-04-12,90.73883715913139
2023-04-13,95.79138532643498
2023-04-14,95.25330921250888
2023-04-17,95.35421541411817
2023-04-18,95.42148400974463
2023-04-19,95.21967657016012
2023-04-20,93.0669741180458
2023-04-21,93.23527333675648
2023-04-24,92.69673630353815
2023-04-25,87.61344121878308
2023-04-26,89.02983868225724
2023-04-27,96.00721346385559
2023-04-28,97.89057716186994
2023-05-01,97.62167743456551
2023-05-02,95.10052591495898
2023-05-03,93.28380431387656
2023-05-04,92.27391095002014
2023-05-05,97.76270106390284
2023-05-08,98.53585550763061
2023-05-09,96.68741029344288
2023-05-10,99.71383596004978
2023-05-11,100.5201235554738
2023-05-12,99.51247942956239
2023-05-15,100.99077207162073
2023-05-16,101.3601795299304
2023-05-17,104.88592141740598
2023-05-18,110.34967001043415
2023-05-19,109.66597214263018
2023-05-22,110.69209586832764
2023-05-23,106.83994150226583
2023-05-24,105.28040657897432
2023-05-25,112.12173561124447
2023-05-26,119.75475428584707
2023-05-30,121.2583980344141
2023-05-31,119.288976353102
2023-06-01,122.70283883521425
2023-06-02,122.83775583733431
2023-06-05,122.83775583733431
2023-06-06,122.83775583733431
2023-06-07,122.83775583733431
2023-06-08,122.83775583733431
2023-06-09,122.83775583733431
2023-06-12,122.83775583733431
2023-06-13,122.83775583733431
2023-06-14,122.83775583733431
2023-06-15,122.83775583733431
2023-06-16,122.83775583733431
2023-06-20,122.83775583733431
2023-06-21,122.83775583733431
2023-06-22,122.83775583733431
2023-06-23,122.83775583733431
2023-06-26,122.83775583733431
2023-06-27,122.83775583733431
2023-06-28,122.83775583733431
2023-06-29,122.83775583733431
2023-06-30,122.83775583733431
2023-07-03,122.83775583733431
2023-07-05,122.83775583733431
2023-07-06,122.83775583733431
2023-07-07,122.83775583733431
2023-07-10,122.83775583733431
2023-07-11,122.83775583733431
2023-07-12,122.83775583733431
2023-07-13,122.83775583733431
2023-07-14,122.83775583733431
2023-07-17,122.83775583733431
2023-07-18,122.83775583733431
2023-07-19,122.83775583733431
2023-07-20,122.83775583733431
2023-07-21,122.83775583733431
2023-07-24,122.83775583733431
2023-07-25,122.83775583733431
2023-07-26,122.83775583733431
2023-07-27,122.83775583733431
2023-07-28,122.83775583733431
2023-07-31,122.83775583733431
2023-08-01,122.83775583733431
2023-08-02,122.83775583733431
2023-08-03,122.83775583733431
2023-08-04,122.83775583733431
2023-08-07,122.83775583733431
2023-08-08,122.83775583733431
2023-08-09,122.83775583733431
2023-08-10,122.83775583733431
2023-08-11,122.83775583733431
2023-08-14,122.83775583733431
2023-08-15,122.83775583733431
2023-08-16,122.83775583733431
2023-08-17,122.83775583733431
2023-08-18,122.83775583733431
2023-08-21,122.83775583733431
2023-08-22,122.83775583733431
2023-08-23,122.83775583733431
2023-08-24,122.83775583733431
2023-08-25,122.83775583733431
2023-08-28,122.83775583733431
2023-08-29,122.83775583733431
2023-08-30,122.83775583733431
2023-08-31,122.83775583733431
2023-09-01,122.83775583733431
2023-09-05,122.83775583733431
2023-09-06,122.83775583733431
2023-09-07,122.83775583733431
2023-09-08,122.83775583733431
2023-09-11,122.83775583733431
2023-09-12,122.83775583733431
2023-09-13,122.83775583733431
2023-09-14,122.83775583733431
2023-09-15,122.83775583733431
2023-09-18,122.83775583733431
2023-09-19,122.83775583733431
2023-09-20,122.83775583733431
2023-09-21,122.77636765350756
2023-09-22,122.87983983521175
2023-09-25,124.5007549135626
2023-09-26,118.94823898725114
